Samples,RNA-seq core set of samples,ITPKB,MME,BCL6,MYBL1,DENND3,NEK6,LMO2,LRMP,SH3BP5,IRF4,PIM1,ENTPD1,BLNK,CCND2,ETV6,FUT8,BMF,IL16,PTPN1
2097,1,5.761412028,5.409538234,6.694680218,4.155012429,6.525253236,6.871701883,3.88762035,9.200853575,4.724299666,8.067620479,6.21615785,5.106729347,7.262959261,4.197053365,5.126970105,4.732227695,3.205804663,5.879988146,4.602779874
2110,1,5.652811781,2.255739876,6.329892835,4.991879495,7.714729148,7.177043629,7.231529112,9.201491657,4.848902052,4.646678536,4.805835217,6.394288406,5.367828063,4.942488858,5.498251316,4.923701491,3.957829012,6.418532294,5.725007322
2112,1,4.116961284,2.629132273,4.852994307,1.605173189,6.496603653,4.578893685,3.557807595,4.773382179,5.975434697,7.571515252,7.110835441,6.482363358,6.724115245,6.766805306,6.333851557,5.635120502,5.404055063,7.382954342,7.060890665
2114,0,4.204013513,4.127204281,5.847490964,2.706508818,6.590363317,4.363530334,4.447493952,4.860243625,3.89989791,6.240607141,5.137712653,3.738102474,7.311074307,5.413071964,7.431859897,7.439562696,5.435920702,5.919444548,5.251999278
2115,1,3.651845937,5.327492042,4.028294973,1.293827688,3.94805966,3.956507292,1.8092432,7.318114549,6.269963376,7.091483126,8.309536826,6.34686467,6.38969653,9.053390109,6.243464465,6.285194093,6.058708654,6.44493999,7.495213188
2121,0,5.659857115,6.702613193,3.751448616,5.380918641,8.192865465,5.438347667,4.120638903,7.107412842,4.4781219,3.852003486,3.662338437,0,4.580927541,1.337091549,7.928248167,0,0,6.667075469,3.851482337
2122,1,4.656848341,0.376629812,6.464827801,2.831646618,6.291818962,4.903391705,4.293165117,7.653599594,6.261568153,6.563345039,7.330654451,5.645570871,6.382791767,8.588248894,5.116548589,6.065057118,3.299776674,6.432234472,6.482286228
2125,1,5.717945262,4.532053812,6.252933632,5.286968442,8.136500416,5.517479205,5.241322867,9.379470707,4.624147396,6.794193673,6.131436508,4.246184551,5.061138351,2.086259766,4.923650068,5.276814707,3.47846743,4.646475044,6.369063174
2126,1,4.146782808,3.342836814,5.376737608,2.513542845,5.705502468,4.566925872,2.339930924,7.118558487,5.793507321,6.356845737,8.362674113,5.737419046,6.784821673,4.728420248,5.496773016,5.405715307,4.504592113,6.967240806,5.850877123
2127,1,5.361538627,2.378926119,6.418317814,4.901334241,7.215837874,6.849658073,6.535120156,8.516002976,5.256020293,6.2234382,5.889492892,6.368254721,6.239094135,4.638832792,6.0439151,5.860403288,6.072012433,6.63310789,5.650270546
2128,1,6.281334881,3.647072998,5.924227612,5.167608333,4.207348136,4.937979864,5.181866944,8.897239047,5.257218785,6.843455155,7.089143196,2.87113968,7.113093686,3.243820877,4.072214696,4.822409548,3.359613084,7.210071538,5.70703805
2130,1,5.852028578,4.029746345,6.483452999,5.446694671,7.815039139,7.062898932,6.528266524,8.648889674,4.280386971,5.633565333,6.883998985,4.934569135,5.332253547,4.571944637,5.072256413,4.213020388,3.508270733,5.55800929,5.703073104
